Timestamp,X,Y,Z
1717728852022.13794,   4.35102, -13.28821,   5.06851
1717728852038.81201,   3.79391, -13.74203,   7.16199
1717728852055.48633,   3.55769, -14.32592,   4.51659
1717728852072.16040,   3.30027, -14.87245,  -0.55999
1717728852088.83447,   2.87015, -15.32538,  -5.33704
1717728852105.50854,   1.53180, -17.00366,  -6.87461
1717728852122.18286,  -0.52319, -18.84768,  -6.95754
1717728852138.85693,  -3.05219, -20.67763,  -6.24823
1717728852155.53101,  -4.83440, -21.46639,  -5.88615
1717728852172.20508,  -6.59056, -21.42366,  -5.48785
1717728852188.87939,  -8.44018, -21.00716,  -5.01546
1717728852205.55347,  -8.78634, -20.92921,  -4.92705
1717728852222.22754,  -8.78634, -20.92921,  -4.92705
1717728852238.90161,  -8.78634, -20.92921,  -4.92705
1717728852255.57593,  -6.57930, -16.23104,  -4.27220
1717728852272.25000,  -2.28818,  -7.09643,  -2.99899
1717728852288.92407,   1.29548,  -3.38967,  -3.05820
1717728852305.59839,   3.30419,  -3.02633,  -4.17280
1717728852322.27246,   4.28554,  -2.33576,  -5.42742
1717728852338.94653,   2.66507,  -1.15922,  -4.55021
1717728852355.62061,   1.41495,  -0.62393,  -4.11302
1717728852372.29492,   0.92675,  -0.79673,  -4.91369
1717728852388.96899,   0.36295,  -1.14360,  -6.31253
1717728852405.64307,  -1.05457,  -2.37125,  -6.07324
1717728852422.31714,  -3.17858, -10.24563,   4.89144
1717728852438.99146,  -5.56920, -23.06802,  23.76638
1717728852455.66553,  -6.47599, -29.20000,  38.40607
1717728852472.33960,  -5.37903, -26.83657,  35.02586
1717728852489.01367,  -3.25462, -20.17085,  21.17710
1717728852505.68799,  -6.66454, -12.37947,  -0.72138
1717728852522.36206, -10.69904, -13.93276, -11.97493
1717728852539.03613, -10.20806, -14.99498, -11.71261
1717728852555.71045,  -5.33412,  -8.63848,  -3.48238
1717728852572.38452,  -3.51387,  -6.85501,   0.01995
1717728852589.05859,  -2.12445,  -7.33388,  -5.38567
1717728852605.73267,  -1.20357,  -8.71534,  -9.02807
1717728852622.40698,  -0.99823, -10.60433,  -7.70967
1717728852639.08105,  -0.02225, -14.34450,  -6.30510
1717728852655.75513,   1.93364, -16.81892,  -5.29443
1717728852672.42920,   4.27545, -16.05748,  -4.81967
1717728852689.10352,   3.70120, -13.28920,  -5.72138
1717728852705.77759,   2.63513, -10.70597,  -5.02209
1717728852722.45166,   2.24273,  -8.44611,  -2.57755
1717728852739.12598,   2.27149,  -5.94801,   0.59097
1717728852755.80005,   2.12411,  -5.29219,   0.48715
1717728852772.47412,   2.31463,  -6.38692,   0.37831
1717728852789.14819,   2.74823,  -8.06745,   1.06656
1717728852805.82251,   2.21138,  -9.36981,   1.85697
1717728852822.49658,   0.95952,  -9.42938,   2.13234
1717728852839.17065,  -0.36206,  -9.61765,   3.32084
1717728852855.84473,  -2.00471, -10.46284,   6.09589
1717728852872.51904,  -1.78450,  -9.88575,   6.21259
1717728852889.19312,  -0.57764,  -9.52146,   4.83524
1717728852905.86719,   0.86341,  -9.59263,   3.06894
1717728852922.54126,   1.32414, -11.18135,   2.80203
1717728852939.21558,   1.48586, -12.14393,   5.05172
1717728852955.88965,   2.63408, -12.10902,   6.16564
1717728852972.56372,   4.29491, -12.34729,   5.68218
1717728852989.23804,   5.81578, -12.22541,   5.61153
1717728853005.91211,   6.33715, -12.44559,   6.45181
1717728853022.58618,   5.99754, -13.67420,   4.54142
1717728853039.26025,   5.42904, -15.36470,  -2.07933
1717728853055.93457,   3.16596, -16.08520,  -4.49981
1717728853072.60864,   0.47366, -16.63552,  -5.44609
