Timestamp,X,Y,Z
1717728857024.37939,  -3.63172,  -6.71407,  -2.98969
1717728857041.05347,   0.07616,  -6.08637,  -4.86928
1717728857057.72754,   3.14930,  -5.94802,  -3.71912
1717728857074.40161,   2.82241,  -5.81560,  -4.42651
1717728857091.07593,   2.05712,  -4.41355,  -4.05996
1717728857107.75000,   1.04618,  -1.96256,  -2.89180
1717728857124.42407,   1.57781,  -1.19929,  -4.01518
1717728857141.09839,   2.62707,  -1.06620,  -5.94635
1717728857157.77246,   2.55589,  -0.98958,  -6.72531
1717728857174.44653,   1.47549,  -0.96382,  -6.46648
1717728857191.12061,   0.87107,  -2.20196,  -4.54854
1717728857207.79492,   0.50434,  -4.07130,  -1.80202
1717728857224.46899,   0.13761,  -5.94062,   0.94445
1717728857241.14307,  -0.22912,  -7.80993,   3.69093
1717728857257.81714,  -0.59584,  -9.67924,   6.43741
1717728857274.49146,  -0.96257, -11.54858,   9.18392
1717728857291.16553,  -1.68725, -10.17363,   5.57924
1717728857307.83960,  -2.70516,  -6.14094,  -3.22841
1717728857324.51367,  -4.97640,  -5.97998, -14.54576
1717728857341.18799,  -7.60200, -13.54268, -20.24092
1717728857357.86206,  -7.27768, -16.36593, -16.34853
1717728857374.53613,  -4.45911, -15.04962,  -4.97184
1717728857391.21045,  -1.98583, -13.22436,   3.66982
1717728857407.88452,  -1.77216,  -8.06898,  -5.58593
1717728857424.55859,  -2.04935,  -6.83404,  -8.34420
1717728857441.23267,  -1.81132,  -9.53515,  -6.19323
1717728857457.90698,  -0.23347, -13.99109,  -4.89549
1717728857474.58105,   1.42013, -15.38068,  -4.77171
1717728857491.25513,   2.33899, -14.28393,  -4.80577
1717728857507.92920,   2.63321, -12.70525,  -2.63615
1717728857524.60352,   3.10474, -10.89961,  -2.05630
1717728857541.27759,   3.85806,  -8.97019,  -3.37519
1717728857557.95166,   3.68748,  -7.46927,  -4.06112
1717728857574.62598,   2.42338,  -7.45425,  -2.60643
1717728857591.30005,   1.20098,  -8.46648,  -0.27079
1717728857607.97412,  -0.13352, -10.11173,   2.50905
1717728857624.64819,  -1.12847, -10.93291,   4.93965
1717728857641.32251,  -0.91099,  -8.81173,   6.12331
1717728857657.99658,  -0.73593,  -7.38434,   2.52807
1717728857674.67065,  -0.44355,  -7.95449,   0.40805
1717728857691.34473,   0.86439,  -9.17154,  -0.37210
1717728857708.01904,   1.99480, -10.72512,   3.66797
1717728857724.69312,   2.16080, -11.99757,  10.31876
1717728857741.36719,   2.24350, -12.27475,   8.89623
1717728857758.04126,   2.82029, -12.40542,   7.30462
1717728857774.71558,   4.09133, -12.55428,   7.25510
1717728857791.38965,   4.97135, -12.36209,   8.09245
1717728857808.06372,   4.80887, -12.42961,   7.29169
1717728857824.73804,   4.81109, -13.27713,   3.71266
1717728857841.41211,   4.98698, -14.63790,  -1.75982
1717728857858.08618,   4.12096, -16.07892,  -5.47771
1717728857874.76025,   1.44237, -17.65955,  -6.14322
1717728857891.43457,  -2.92371, -20.00457,  -5.20440
1717728857908.10864,  -4.61317, -21.75466,  -5.13812
1717728857924.78271,  -6.80108, -22.28347,  -3.30323
1717728857941.45679,  -9.92778, -20.51210,   1.86272
1717728857958.13110,  -9.54495, -13.43384,   5.03215
1717728857974.80518,  -6.21560,  -9.26474,  -2.48418
1717728857991.47925,  -2.67987,  -7.77693,  -7.37549
1717728858008.15356,  -0.13580,  -7.31421,  -6.47737
1717728858024.82764,   0.75400,  -6.87857,  -4.26382
1717728858041.50171,   1.59484,  -6.17456,  -2.62298
1717728858058.17578,   2.15828,  -3.95027,  -4.22648
1717728858074.85010,   1.36149,  -1.56699,  -4.78186
1717728858091.52417,   0.62073,   0.16246,  -4.79645
1717728858108.19824,   1.20764,   0.63040,  -5.50364
1717728858124.87231,   1.15182,   0.64748,  -5.91179
1717728858141.54663,  -0.08098,   0.39194,  -5.53403
1717728858158.22070,  -0.86441,  -0.18935,  -5.42908
1717728858174.89478,  -0.96913,  -1.63072,  -5.30731
1717728858191.56885,  -0.62638,  -3.91851,  -4.84892
1717728858208.24316,  -0.51473,  -4.66370,  -4.69962
1717728858224.91724,  -0.51473,  -4.66370,  -4.69962
1717728858241.59131,  -0.60853,  -4.70616,  -4.74118
1717728858258.26562,  -3.25347,  -5.90331,  -5.91327
1717728858274.93970, -10.02792, -12.43332, -11.42392
1717728858291.61377,  -9.38282, -12.12704, -10.67678
1717728858308.28784,  -5.25696,  -8.13920,  -6.59698
1717728858324.96216,  -4.41005,  -4.38946,   3.74740
1717728858341.63623,  -2.64179,  -1.93989,  -3.93563
1717728858358.31030,  -1.66277,  -4.27798,  -9.14979
1717728858374.98438,  -1.06790,  -8.16595, -11.44679
1717728858391.65869,  -1.26857, -12.64820,  -9.36654
1717728858408.33276,   0.44225, -16.54167,  -7.30775
1717728858425.00684,   3.43286, -19.99090,  -5.85578
1717728858441.68115,   3.69127, -17.56936,  -5.75860
1717728858458.35522,   3.65790, -14.47235,  -5.21068
1717728858475.02930,   4.30680, -11.61041,  -3.38721
1717728858491.70337,   5.65267,  -9.47121,  -1.09698
1717728858508.37769,   6.33619,  -7.96922,   0.61040
1717728858525.05176,   6.00195,  -7.19264,   2.18407
1717728858541.72583,   3.56960,  -7.85074,   3.66435
1717728858558.39990,  -0.12121,  -9.88543,   5.12764
1717728858575.07422,  -2.06923, -10.62475,   5.21149
1717728858591.74829,  -1.90639,  -9.30914,   3.86986
1717728858608.42236,  -0.81752,  -7.08083,   1.69190
1717728858625.09644,  -0.65097,  -6.69092,   0.25082
1717728858641.77075,  -0.29307,  -7.33077,  -0.82776
1717728858658.44482,   0.60847,  -9.55326,  -1.36688
1717728858675.11890,   1.72411, -11.44254,  -1.46760
1717728858691.79321,   1.55061, -11.81071,   0.06045
1717728858708.46729,   1.46501, -12.02176,   3.05767
1717728858725.14136,   2.21408, -12.22816,   7.75697
1717728858741.81543,   3.78267, -13.00619,   8.44923
1717728858758.48975,   4.50716, -12.37448,   6.02800
1717728858775.16382,   4.14735, -10.64327,   5.59463
1717728858791.83789,   2.48862, -10.74874,   6.83116
1717728858808.51196,   1.42292, -12.77918,   5.80865
1717728858825.18628,   2.32252, -14.63703,   1.34455
1717728858841.86035,   3.96723, -15.69908,  -3.97342
1717728858858.53442,   3.39544, -15.53854,  -5.94224
1717728858875.20874,   0.81279, -16.81703,  -6.50569
1717728858891.88281,  -2.83669, -19.12086,  -6.49130
1717728858908.55688,  -5.28304, -21.62153,  -7.57009
1717728858925.23096,  -7.30964, -21.69966,  -5.67389
1717728858941.90527,  -8.60702, -16.44733,   2.90217
1717728858958.57935,  -6.30308,  -7.97360,   3.60772
1717728858975.25342,  -4.43226,  -7.23630,  -2.94464
1717728858991.92749,  -2.50243,  -6.67830,  -5.24375
1717728859008.60181,  -0.35754,  -5.95642,  -4.89036
1717728859025.27588,   1.95333,  -6.08155,  -3.75673
1717728859041.94995,   3.01875,  -6.27215,  -4.12790
1717728859058.62402,   1.88393,  -4.29615,  -3.95464
1717728859075.29834,  -0.05606,  -1.44199,  -3.42289
1717728859091.97241,   0.10938,  -0.47185,  -4.94392
1717728859108.64648,   0.46248,   0.28015,  -6.24858
1717728859125.32080,   0.30526,   0.61249,  -6.06645
1717728859141.99487,  -0.21246,   0.19285,  -5.29324
1717728859158.66895,  -0.75885,  -0.95109,  -4.92773
1717728859175.34302,  -1.03186,  -1.52265,  -4.74510
1717728859192.01733,  -5.24772, -25.60755,  29.15252
1717728859208.69141,  -2.99438, -26.78328,  33.34647
1717728859225.36548,  -0.69519, -14.49967,  13.07897
1717728859242.03955,  -3.49644,  -6.10981,  -2.39212
1717728859258.71387,  -7.13553,  -6.01105, -10.48065
1717728859275.38794,  -8.96654,  -9.57301, -15.07502
1717728859292.06201,  -8.35359, -11.90379, -17.61441
1717728859308.73633,  -5.86059, -11.40969,  -5.09905
1717728859325.41040,  -5.53166, -12.20967,   4.50556
1717728859342.08447,  -3.52576, -10.15908,   1.41295
1717728859358.75854,  -1.69873,  -7.88254,  -5.39308
1717728859375.43286,  -0.99128,  -7.13355,  -7.31330
1717728859392.10693,  -0.83545,  -7.94413,  -6.71401
1717728859408.78101,   1.29960, -11.62137,  -5.56508
1717728859425.45508,   4.44119, -16.65338,  -4.22762
1717728859442.12939,   4.51965, -15.19283,  -5.15012
1717728859458.80347,   3.73427, -13.22960,  -5.21318
1717728859475.47754,   2.79006, -10.77570,  -3.20854
1717728859492.15161,   2.49310,  -8.46297,  -0.71847
1717728859508.82593,   2.76510,  -6.60708,  -0.49485
1717728859525.50000,   3.05356,  -5.59246,  -0.62229
1717728859542.17407,   3.23135,  -6.17126,  -0.88892
1717728859558.84839,   2.71187,  -8.21021,   0.02169
1717728859575.52246,   2.15289,  -9.61831,   0.60390
1717728859592.19653,   1.43233, -10.16971,   1.13277
1717728859608.87061,   0.12512, -10.10763,   2.19962
1717728859625.54492,  -2.21266, -10.41751,   5.93365
1717728859642.21899,  -1.78389, -10.90478,   6.22276
1717728859658.89307,   0.04141, -11.19387,   3.82103
1717728859675.56714,   1.06459, -11.74632,   2.65644
1717728859692.24146,   2.20088, -12.13376,   2.18499
1717728859708.91553,   3.66861, -12.03754,   3.74533
1717728859725.58960,   6.02090, -12.14759,   5.32992
1717728859742.26367,   6.27667, -12.41846,   6.43490
1717728859758.93799,   6.48816, -12.68998,   7.38629
1717728859775.61206,   5.95677, -12.97219,   5.76092
1717728859792.28613,   4.87765, -13.59660,   2.88955
1717728859808.96045,   3.45836, -14.43355,  -0.75567
1717728859825.63452,   2.37743, -15.75032,  -3.59164
1717728859842.30859,   1.44306, -17.27495,  -6.07711
1717728859858.98267,   0.37291, -18.31718,  -6.59483
1717728859875.65698,  -1.25529, -19.56109,  -6.87833
1717728859892.33105,  -3.68388, -21.24819,  -7.37930
1717728859909.00513,  -7.72351, -21.28969,  -5.66959
1717728859925.67920,  -9.17923, -16.48319,   2.60992
1717728859942.35352,  -7.34320, -11.86507,   3.13996
1717728859959.02759,  -3.27680,  -7.99665,  -4.81646
1717728859975.70166,  -2.16443,  -7.38984,  -4.38492
1717728859992.37598,  -0.56243,  -7.04408,  -3.91585
1717728860009.05005,   2.12586,  -6.79372,  -4.22520
1717728860025.72412,   3.36265,  -5.27494,  -5.32348
1717728860042.39819,   1.26473,  -2.26013,  -5.23985
1717728860059.07251,   0.35384,  -0.86275,  -5.35591
1717728860075.74658,   0.08814,  -0.20929,  -5.78819
1717728860092.42065,   0.03579,  -0.11787,  -6.35468
1717728860109.09473,  -0.99503,  -0.52194,  -5.99262
1717728860125.76904,  -2.29808,  -1.04896,  -5.37377
1717728860142.44312,  -2.68182,  -3.34441,  -5.99387
1717728860159.11719,  -2.88505,  -8.11284,  -2.54524
1717728860175.79126,  -3.31618, -16.11135,   8.65215
