Timestamp,X,Y,Z
1717728827010.93115,  -3.50392,  -7.76195,  -5.59494
1717728827027.60522,  -3.48417,  -5.40070,  -4.03263
1717728827044.27930,  -2.55593,  -3.44422,  -2.65258
1717728827060.95337,  -1.19566,  -2.30616,  -2.13313
1717728827077.62769,   0.52437,  -2.45556,  -3.07954
1717728827094.30176,   1.74022,  -2.10278,  -4.13377
1717728827110.97583,   1.87462,  -0.67282,  -5.41933
1717728827127.64990,   1.50119,   0.11735,  -5.73026
1717728827144.32422,   0.13684,  -0.34086,  -4.13946
1717728827160.99829,  -0.24822,  -0.69506,  -4.15684
1717728827177.67236,   0.04564,  -1.15287,  -4.89542
1717728827194.34644,   0.35025,  -1.68484,  -5.48293
1717728827211.02075,   0.65485,  -2.21682,  -6.07045
1717728827227.69482,   0.67274,  -2.24806,  -6.10495
1717728827244.36890,   0.56078,  -2.85962,  -6.41900
1717728827261.04321,   0.13345,  -5.19372,  -7.61761
1717728827277.71729,  -1.98474,  -7.15165, -16.91994
1717728827294.39136,  -4.55905,  -9.87291, -24.15602
1717728827311.06543,  -6.83427, -13.44191, -24.00363
1717728827327.73975, -10.47850, -19.56562,  -6.96938
1717728827344.41382,  -8.86954, -18.10434,  -0.37817
1717728827361.08789,  -1.90934,  -7.38297,  -8.52351
1717728827377.76196,  -0.69435,  -4.54479,  -6.91770
1717728827394.43628,  -0.18690,  -6.27056,  -6.30165
1717728827411.11035,   0.32055,  -7.99630,  -5.68561
1717728827427.78442,   2.29942, -14.73679,  -6.55712
1717728827444.45874,   2.24505, -12.89757,  -7.48738
1717728827461.13281,   1.68251,  -9.98569,  -6.58654
1717728827477.80688,   1.63736,  -9.46186,  -5.63698
1717728827494.48096,   1.69966,  -9.43393,  -4.67729
1717728827511.15527,   1.76195,  -9.40600,  -3.71760
1717728827527.82935,   2.28320,  -8.36021,  -0.49609
1717728827544.50342,   2.62863,  -9.17177,  -0.91682
1717728827561.17749,   3.05877, -10.39670,  -1.54088
1717728827577.85181,   2.97641, -12.03388,   2.98869
1717728827594.52588,   1.03499, -12.01052,   9.23545
1717728827611.19995,  -2.22147, -10.47220,  15.90099
1717728827627.87402,   0.47569,  -9.86252,   6.80301
1717728827644.54834,   2.41333,  -9.11894,  -1.14207
1717728827661.22241,   2.27141,  -9.51174,  -1.46176
1717728827677.89648,   1.39825, -10.98998,   2.93908
1717728827694.57080,   1.27308, -11.44764,   6.39157
1717728827711.24487,   2.72731, -11.78036,   6.77004
1717728827727.91895,   6.05487, -11.93818,   3.38107
1717728827744.59302,   6.36220, -11.74275,   3.86023
1717728827761.26733,   6.08434, -11.52518,   6.16265
1717728827777.94141,   4.26192, -12.80388,   4.00626
1717728827794.61548,   2.29421, -14.89167,  -2.55502
1717728827811.28955,   1.48177, -16.34399,  -5.16558
1717728827827.96387,   0.23204, -17.20836,  -6.73518
1717728827844.63794,  -1.43916, -17.48924,  -7.06958
1717728827861.31201,  -2.31535, -18.16656,  -5.58063
1717728827877.98633,  -4.06826, -19.79660,  -3.96401
1717728827894.66040,  -7.39434, -18.88368,   1.55881
1717728827911.33447, -10.60449, -16.58698,   8.00030
1717728827928.00854,  -8.02774, -12.41591,   2.35292
1717728827944.68286,  -5.34090,  -9.27037,  -2.75904
1717728827961.35693,  -2.80539,  -7.21957,  -6.86958
1717728827978.03101,  -3.12108,  -6.87083,  -5.24016
1717728827994.70508,  -3.18013,  -5.93859,  -2.89073
1717728828011.37939,  -2.63922,  -4.53240,  -0.49482
1717728828028.05347,  -1.23927,  -4.67462,  -2.12767
1717728828044.72754,   2.44686,  -4.73425,  -4.17211
1717728828061.40161,   2.66725,  -2.86470,  -4.86688
1717728828078.07593,   1.05044,  -0.69440,  -5.01253
1717728828094.75000,   0.53589,  -0.43529,  -4.75998
1717728828111.42407,   0.02134,  -0.17617,  -4.50743
1717728828128.09839,  -0.69617,  -1.25849,  -5.10559
1717728828144.77246,  -0.30835,  -2.89017,  -4.86308
1717728828161.44653,  -0.02749,  -5.42344,  -3.45535
1717728828178.12061,  -0.04080, -10.43598,   1.15667
1717728828194.79492,  -2.34678, -23.29815,  25.98821
1717728828211.46899,  -4.76665, -34.02732,  49.54108
1717728828228.14307,  -4.76665, -34.02732,  49.54108
1717728828244.81714,  -4.76665, -34.02732,  49.54108
1717728828261.49146,  -4.85582, -33.69846,  48.58471
1717728828278.16553,  -7.88107, -22.54063,  16.13693
1717728828294.83960,  -9.69768, -12.97530,  -8.60999
1717728828311.51367,  -7.47420,  -8.73316,  -7.61557
1717728828328.18799,  -3.11946,  -6.67470, -11.36143
1717728828344.86206,  -1.90392,  -7.11582, -10.10836
1717728828361.53613,  -0.75031,  -8.65605,  -8.30500
1717728828378.21045,   0.97401, -12.53130,  -6.73665
1717728828394.88452,   3.18534, -16.36057,  -5.53327
1717728828411.55859,   3.19437, -13.44152,  -5.21773
1717728828428.23267,   2.42531, -10.00172,  -4.58256
1717728828444.90698,   2.28577,  -9.19743,  -3.73743
1717728828461.58105,   2.14623,  -8.39315,  -2.89231
1717728828478.25513,   1.88945,  -6.91702,  -2.89333
1717728828494.92920,   2.58394,  -6.27997,  -3.70497
1717728828511.60352,   2.35618,  -7.35111,  -4.21263
1717728828528.27759,   2.36086,  -8.52243,  -3.39660
1717728828544.95166,   2.86746,  -9.91011,   0.27779
1717728828561.62598,  -0.51170, -11.04561,  11.21318
1717728828578.30005,  -1.65344, -11.08642,  14.82762
1717728828594.97412,  -2.12834, -10.88274,  16.02168
1717728828611.64819,   0.46852,  -9.55283,   6.06654
1717728828628.32251,   2.10222,  -8.66118,  -2.57087
1717728828644.99658,   1.09441, -10.35713,  -1.18115
1717728828661.67065,   0.03590, -12.16667,   1.92382
1717728828678.34473,  -0.46908, -12.15678,   8.03563
1717728828695.01904,   0.25557, -11.81618,  12.39843
1717728828711.69312,   4.62999, -11.58165,   7.83075
1717728828728.36719,   7.29019, -12.12778,   4.56315
1717728828745.04126,   7.30018, -12.43106,   6.58909
1717728828761.71558,   7.01215, -12.95452,   7.21027
1717728828778.38965,   5.19222, -14.60962,   0.61059
1717728828795.06372,   1.18505, -17.02683,  -7.05813
1717728828811.73804,   0.23904, -18.01935,  -6.97696
1717728828828.41211,  -0.88618, -19.24567,  -6.71001
1717728828845.08618,  -2.50949, -21.12183,  -5.92676
1717728828861.76025,  -6.23424, -23.15682,  -4.74138
1717728828878.43457,  -9.23644, -17.48090,   0.79358
1717728828895.10864, -10.29020, -11.57069,   4.80946
1717728828911.78271,  -8.16490,  -9.06645,  -2.19005
1717728828928.45679,  -5.44208,  -7.11240,  -6.75712
1717728828945.13110,  -3.51860,  -6.15049,  -5.83299
1717728828961.80518,  -3.61351,  -5.59316,  -1.75762
1717728828978.47925,  -2.92434,  -4.77723,  -1.10313
1717728828995.15356,  -1.49796,  -4.10521,  -1.30366
1717728829011.82764,   1.57640,  -3.75493,  -3.41554
1717728829028.50171,   4.57553,  -3.31836,  -5.41238
1717728829045.17578,   2.92664,  -1.30878,  -4.83716
1717728829061.85010,   0.28125,  -0.30940,  -4.98519
1717728829078.52417,  -0.31084,  -0.46568,  -5.12172
1717728829095.19824,  -1.05569,  -1.16131,  -4.95275
1717728829111.87231,  -0.12321,  -2.04027,  -5.23035
1717728829128.54663,   0.24979,  -5.69508,  -1.61840
1717728829145.22070,  -1.14103, -16.88970,  12.51938
1717728829161.89478,  -3.20570, -25.99776,  26.97280
1717728829178.56885,  -6.89201, -30.08451,  42.18582
1717728829195.24316,  -5.53511, -23.79373,  32.69496
1717728829211.91724,  -0.98397, -12.80125,   9.07842
1717728829228.59131,  -0.98397, -12.80125,   9.07842
1717728829245.26562,  -0.98397, -12.80125,   9.07842
1717728829261.93970,  -0.98397, -12.80125,   9.07842
1717728829278.61377,  -4.03601, -10.25056,   2.79578
1717728829295.28784,  -4.50100,  -8.90713,  -3.94410
1717728829311.96216,  -2.15762,  -9.28996,  -9.66796
1717728829328.63623,  -2.30410, -10.41106,  -8.09805
1717728829345.31030,  -1.66099, -13.26861,  -5.31857
1717728829361.98438,   1.50891, -15.16029,  -3.83455
1717728829378.65869,   4.31031, -13.87775,  -4.80891
1717728829395.33276,   4.43864, -11.30427,  -6.77058
1717728829412.00684,   4.39519,  -8.78582,  -8.23852
1717728829428.68115,   1.97830,  -7.38539,  -2.86693
