Timestamp,X,Y,Z
1717728822008.68970,  -7.26185, -23.36470,  -3.18218
1717728822025.36377, -12.72234, -20.21491,   4.08430
1717728822042.03784, -12.25819, -14.11172,  11.46961
1717728822058.71216, -10.04617, -10.21620,   3.99163
1717728822075.38623,  -7.17777,  -7.52488,  -4.63568
1717728822092.06030,  -4.26744,  -4.63248,  -6.21636
1717728822108.73438,  -5.41024,  -4.92629,  -3.76897
1717728822125.40869,  -5.03590,  -4.33420,  -1.74339
1717728822142.08276,  -3.75648,  -3.57891,  -0.88767
1717728822158.75684,  -1.59469,  -4.08251,  -3.74651
1717728822175.43115,   2.64855,  -3.22636,  -5.88384
1717728822192.10522,   5.14013,  -2.46832,  -6.65799
1717728822208.77930,   5.14013,  -2.46832,  -6.65799
1717728822225.45337,   5.14013,  -2.46832,  -6.65799
1717728822242.12769,   3.89514,  -2.97296,  -5.41951
1717728822258.80176,   2.14025,  -3.77739,  -3.69910
1717728822275.47583,   2.57578,  -5.53683,  -4.65858
1717728822292.14990,   0.48967, -10.76576,  -1.46024
1717728822308.82422,  -2.84738, -16.98022,  14.50020
1717728822325.49829,  -6.35704, -23.21130,  33.95725
1717728822342.17236,  -4.66292, -16.48370,  20.25026
1717728822358.84644,  -6.52627, -12.38364,   4.07480
1717728822375.52075, -11.99322, -11.74340, -11.38066
1717728822392.19482, -13.80458, -15.94213, -17.32136
1717728822408.86890, -12.21205, -15.73545, -11.50710
1717728822425.54321,  -8.22931, -10.83917,  -7.37236
1717728822442.21729,  -3.88033,  -4.62869,  -7.77798
1717728822458.89136,  -3.37628,  -4.07878,  -9.19093
1717728822475.56543,  -2.81778,  -5.84122,  -9.10047
1717728822492.23975,  -1.87672,  -8.81855,  -7.80311
1717728822508.91382,  -2.03682, -13.43432,  -6.13883
1717728822525.58789,  -2.12752, -17.24820,  -5.57792
1717728822542.26196,  -0.88472, -16.28716,  -5.73609
1717728822558.93628,   1.33336, -12.16804,  -5.62509
1717728822575.61035,   1.08705, -10.50326,  -3.93018
1717728822592.28442,   1.05219,  -9.91471,  -1.67785
1717728822608.95874,   1.47193,  -9.88894,   0.66389
1717728822625.63281,   2.04328,  -9.56965,   0.11741
1717728822642.30688,   2.57873,  -9.23010,  -0.78222
1717728822658.98096,   2.51326,  -8.91744,  -0.04476
1717728822675.65527,   2.06905,  -8.63651,   2.02910
1717728822692.32935,   0.54928,  -8.02242,   5.91651
1717728822709.00342,   0.00849,  -7.26144,   6.36006
1717728822725.67749,   0.06292,  -6.45287,   4.87586
1717728822742.35181,  -1.05356,  -7.15121,   1.50411
1717728822759.02588,  -2.30958,  -8.80807,  -1.29528
1717728822775.69995,  -1.84734, -10.34676,  -0.37904
1717728822792.37402,  -0.64066, -11.53667,   1.85211
1717728822809.04834,   1.13828, -11.28751,   6.28915
1717728822825.72241,   2.53774, -11.66926,   6.89681
1717728822842.39648,   3.58940, -12.69443,   4.47164
1717728822859.07080,   3.96588, -13.72266,   4.51422
1717728822875.74487,   4.56513, -14.61878,   4.86694
1717728822892.41895,   5.04940, -15.23580,   2.53148
1717728822909.09302,   5.09012, -15.88481,  -1.74609
1717728822925.76733,   3.87486, -16.16630,  -4.48600
1717728822942.44141,   1.70353, -16.43048,  -5.71595
1717728822959.11548,  -1.24208, -16.72410,  -5.66698
1717728822975.78955,  -2.83433, -19.04279,  -5.46331
1717728822992.46387,  -6.61871, -22.37796,  -5.44056
1717728823009.13794,  -9.27932, -20.71237,   0.10362
1717728823025.81201,  -8.90580, -14.90312,   9.40064
1717728823042.48633,  -7.15686, -11.07684,   1.28045
1717728823059.16040,  -5.70520,  -9.04591,  -3.94521
