Timestamp,X,Y,Z
1717728837015.41382, -15.92732, -21.16118,  16.88475
1717728837032.08789,  -3.76974, -12.42408,  -2.89390
1717728837048.76196,   3.76988,  -6.66421, -14.92864
1717728837065.43628,   2.53617,  -6.59904, -12.30318
1717728837082.11035,   0.29668,  -8.65557,  -9.87369
1717728837098.78442,   1.94784, -14.08631,  -6.77817
1717728837115.45874,   3.42159, -18.14889,  -4.16198
1717728837132.13281,   4.12391, -16.86090,  -3.44785
1717728837148.80688,   3.54354, -13.88998,  -3.69965
1717728837165.48096,   2.58187, -11.05224,  -4.45650
1717728837182.15527,   1.50349,  -8.85577,  -5.46573
1717728837198.82935,   1.51253,  -8.63845,  -4.09461
1717728837215.50342,   2.12663,  -8.25440,  -0.38000
1717728837232.17749,   3.37208,  -8.99600,  -0.52641
1717728837248.85181,   4.01583,  -9.73774,   1.76272
1717728837265.52588,   2.96272, -10.31182,   3.81762
1717728837282.19995,   2.24993,  -9.79927,   3.85724
1717728837298.87402,   1.54711,  -9.25491,   3.83789
1717728837315.54834,  -1.57532,  -8.92327,   8.29779
1717728837332.22241,  -1.57532,  -9.23849,   7.57511
1717728837348.89648,   1.70158,  -8.52748,  -0.18313
1717728837365.57080,   3.39380,  -8.52872,  -1.65154
1717728837382.24487,   1.83214, -11.33305,   0.94282
1717728837398.91895,   0.73553, -12.75841,   7.92166
1717728837415.59302,   1.74982, -12.09362,   9.16541
1717728837432.26733,   2.83648, -11.47543,  10.16821
1717728837448.94141,   4.82233, -12.29313,   5.50349
1717728837465.61548,   4.29272, -11.43238,   7.15017
1717728837482.28955,   4.43138, -13.24151,   4.63801
1717728837498.96387,   7.07190, -15.67194,  -4.80181
1717728837515.63794,   7.06734, -16.79310,  -5.36867
1717728837532.31201,   7.06278, -17.91427,  -5.93552
1717728837548.98633,   2.54817, -18.99398,  -7.30266
1717728837565.66040,  -0.71631, -20.80190,  -7.33568
1717728837582.33447,  -5.77107, -23.73919,  -6.41730
1717728837599.00854,  -9.78171, -23.90523,  -7.04082
1717728837615.68286, -10.59168, -21.04883,  -4.96105
1717728837632.35693, -11.11341, -18.43217,  -3.02853
1717728837649.03101,  -9.07409, -14.45877,  -4.62646
1717728837665.70508,  -3.95090,  -5.11240,  -8.17814
1717728837682.37939,  -2.85719,  -5.39220,  -7.10826
1717728837699.05347,  -0.30711,  -4.58803,  -3.99448
1717728837715.72754,   2.18423,  -4.35577,  -2.45503
1717728837732.40161,   4.47854,  -5.15617,  -3.88788
1717728837749.07593,   3.33664,  -3.50926,  -3.83752
1717728837765.75000,   2.19476,  -1.86236,  -3.78716
1717728837782.42407,   1.57718,  -1.19580,  -3.97650
1717728837799.09839,   1.87792,  -1.20716,  -4.72420
1717728837815.77246,   1.16318,  -1.07811,  -4.95066
1717728837832.44653,   0.44845,  -0.94906,  -5.17713
1717728837849.12061,   0.39443,  -3.54688,  -2.47187
1717728837865.79492,  -2.60069, -12.44071,  11.34806
1717728837882.46899,  -5.98278, -21.51230,  27.39162
1717728837899.14307, -10.15782, -30.94836,  47.99143
1717728837915.81714,  -4.57435, -21.73462,  17.51228
1717728837932.49146,  -5.70924, -12.61239,   2.52949
1717728837949.16553,  -7.50046,  -6.87358,  -9.89410
1717728837965.83960, -10.97171, -11.16290, -15.50102
1717728837982.51367, -12.47836, -12.98342,  -7.89604
1717728837999.18799, -12.06976, -12.92220,   7.70045
1717728838015.86206,  -5.96984, -12.55353,  -2.15659
1717728838032.53613,  -2.88708, -10.40066,  -7.24051
1717728838049.21045,  -0.02048,  -8.64633, -11.40173
1717728838065.88452,   0.62211, -12.58066,  -6.02673
1717728838082.55859,   1.66200, -17.26070,  -3.84891
1717728838099.23267,   3.01329, -15.42814,  -4.92524
1717728838115.90698,   4.29321, -13.04780,  -6.19662
1717728838132.58105,   3.81988, -11.85877,  -5.50516
1717728838149.25513,   3.24839,  -9.93274,  -4.66524
1717728838165.92920,   2.86677,  -7.90841,  -2.94626
1717728838182.60352,   3.12551,  -7.93059,  -0.08237
1717728838199.27759,   3.56714,  -8.01047,   0.20026
1717728838215.95166,   4.10718,  -8.21430,  -0.30380
1717728838232.62598,   4.74045,  -9.14400,   0.51966
1717728838249.30005,   4.09268,  -9.61497,   2.35364
1717728838265.97412,   1.89425, -10.00190,   4.62760
1717728838282.64819,  -2.78692, -11.61942,  13.83318
1717728838299.32251,  -2.48377, -10.84098,  12.72665
1717728838315.99658,  -1.45213, -10.06431,  10.02482
1717728838332.67065,   3.69329,  -9.70283,  -1.17131
1717728838349.34473,   3.80977, -11.07869,  -0.16256
1717728838366.01904,   2.18974, -12.87996,   4.31561
1717728838382.69312,   3.53353, -12.20297,   8.01672
1717728838399.36719,   6.08223, -11.85610,   6.07908
1717728838416.04126,   7.84468, -11.97786,   5.30664
1717728838432.71558,   7.94991, -11.59694,   6.07181
1717728838449.38965,   7.46412, -11.77054,   5.79315
1717728838466.06372,   5.81641, -14.23513,   0.49596
