Timestamp,X,Y,Z
1717728842017.65527,   3.59026, -17.18666,  -4.06023
1717728842034.32935,   4.27438, -15.14191,  -5.25455
1717728842051.00342,   3.40881, -11.14573,  -4.84204
1717728842067.67749,   2.85995,  -8.82611,  -3.80945
1717728842084.35181,   2.68220,  -8.47111,  -2.05021
1717728842101.02588,   2.62897,  -8.05431,   0.27535
1717728842117.69995,   2.92159,  -7.83826,  -1.48459
1717728842134.37402,   3.12724,  -8.23368,  -1.91136
1717728842151.04834,   3.14457,  -9.17342,  -1.04376
1717728842167.72241,   2.70546,  -9.83708,  -0.29693
1717728842184.39648,   2.08111, -10.01552,   0.18530
1717728842201.07080,   1.38858, -10.02346,   0.60654
1717728842217.74487,  -0.30192,  -9.31021,   8.13295
1717728842234.41895,  -1.21671,  -8.92425,  12.20574
1717728842251.09302,  -1.53222,  -8.79113,  13.61045
1717728842267.76733,  -1.32243,  -8.97408,  12.95365
1717728842284.44141,   0.65684, -10.70012,   6.75696
1717728842301.11548,   2.18830, -11.30958,   4.70333
1717728842317.78955,   3.34845, -10.99318,   6.08514
1717728842334.46387,   5.45132, -11.56462,   5.84858
1717728842351.13794,   7.87235, -12.45174,   5.06562
1717728842367.81201,   9.01913, -14.48062,   4.21906
1717728842384.48633,   7.55480, -15.10650,   2.52565
1717728842401.16040,   4.44088, -15.70994,  -2.91973
1717728842417.83447,   1.91643, -15.94595,  -5.97035
1717728842434.50854,  -0.19806, -15.92641,  -7.35548
1717728842451.18286,  -2.60502, -18.14672,  -8.16795
1717728842467.85693,  -5.08940, -20.96022,  -8.82872
1717728842484.53101,  -9.64007, -22.62899,  -6.48407
1717728842501.20508, -11.16810, -21.07872,  -4.46352
1717728842517.87939,  -8.99744, -12.95781,   0.65277
1717728842534.55347,  -5.95704,  -7.75333,  -0.12586
1717728842551.22754,  -2.16827,  -6.34388,  -6.91863
1717728842567.90161,  -0.59944,  -6.42627,  -6.19689
1717728842584.57593,  -0.27510,  -5.16492,  -3.78292
1717728842601.25000,   0.30768,  -4.50493,  -2.06956
1717728842617.92407,   1.32151,  -4.84791,  -1.52463
1717728842634.59839,   5.13247,  -4.79712,  -4.94946
1717728842651.27246,   2.43538,  -1.44017,  -5.10159
1717728842667.94653,   0.93252,   0.60073,  -5.17455
1717728842684.62061,   1.10200,   0.79874,  -5.13664
1717728842701.29492,   0.82697,   0.56225,  -5.16140
1717728842717.96899,   0.34025,   0.11883,  -5.21601
1717728842734.64307,  -0.48909,  -2.07763,  -4.97273
1717728842751.31714,  -1.08323,  -7.32021,  -0.46834
1717728842767.99146,  -6.55494, -22.79531,  27.33338
1717728842784.66553,  -8.92004, -30.85733,  40.67201
1717728842801.33960,  -5.24891, -24.51560,  25.90857
1717728842818.01367,  -5.70297, -16.19978,  12.05751
1717728842834.68799,  -6.94019,  -7.50907,  -1.62055
1717728842851.36206, -13.28973, -14.94113, -15.85303
1717728842868.03613, -11.23976, -17.93195, -20.06711
1717728842884.71045,  -7.47201, -14.58573, -14.16824
1717728842901.38452,  -2.74783,  -7.71096,  -2.63832
1717728842918.05859,  -1.04555,  -6.95085,  -4.93203
1717728842934.73267,  -0.17992,  -7.88368, -11.05302
1717728842951.40698,  -1.33238, -11.70448,  -8.26733
1717728842968.08105,  -1.39835, -14.91827,  -5.70297
1717728842984.75513,   3.45906, -20.45647,  -4.02178
1717728843001.42920,   3.96558, -17.17786,  -4.35292
1717728843018.10352,   4.47211, -13.89921,  -4.68407
1717728843034.77759,   3.88037, -11.17448,  -3.29147
1717728843051.45166,   2.51397,  -8.84042,  -0.68304
1717728843068.12598,   1.95399,  -7.24423,   0.90173
1717728843084.80005,   2.06102,  -6.25838,   1.63975
1717728843101.47412,   1.97332,  -6.73219,  -1.37813
1717728843118.14819,   2.31283,  -8.89015,   0.96492
1717728843134.82251,   2.26464,  -9.98236,   2.41510
1717728843151.49658,   1.79422, -10.08218,   3.16383
1717728843168.17065,  -0.94712,  -8.94848,   6.81006
1717728843184.84473,  -2.06167,  -9.12732,   9.52298
1717728843201.51904,  -1.54030,  -8.97072,   6.82750
1717728843218.19312,  -0.25617,  -8.66424,   1.73812
1717728843234.86719,  -0.25617,  -8.66424,   1.73812
1717728843251.54126,  -0.25617,  -8.66424,   1.73812
1717728843268.21558,  -0.02946,  -8.86382,   1.82326
1717728843284.88965,   3.08025, -11.60136,   2.99114
1717728843301.56372,   4.86409, -13.04600,   3.78330
1717728843318.23804,   5.66219, -13.52940,   4.29614
