Timestamp,X,Y,Z
1717728817006.44824, -13.73573,  -6.31645,   6.63598
1717728817023.12231, -17.45625,  -7.35879,   8.20692
1717728817039.79663, -19.19041,  -4.71425,   7.25819
1717728817056.47070, -18.88041,  -3.08072,   5.77534
1717728817073.14478, -17.57158,  -1.49582,   4.62779
1717728817089.81885, -15.93929,  -0.10038,   3.78111
1717728817106.49316, -14.20318,   1.06021,   3.16869
1717728817123.16724, -13.20825,   1.71389,   2.98787
1717728817139.84131, -12.56700,   2.23906,   2.36137
1717728817156.51562, -12.29797,   2.63739,   1.21758
1717728817173.18970, -12.02895,   3.03572,   0.07380
1717728817189.86377, -11.05291,   2.84717,  -0.32045
1717728817206.53784, -10.51249,   2.66463,  -0.35911
1717728817223.21216, -10.51249,   2.66463,  -0.35911
1717728817239.88623,  -5.44941,  -1.92706,  -0.23232
1717728817256.56030,  -6.01627,  -2.81993,  -0.49978
1717728817273.23438,  -6.40700,  -3.55002,  -1.06525
1717728817289.90869,  -6.56793,  -4.06773,  -2.01958
1717728817306.58276,  -9.96646,  -3.85971,  -1.18700
1717728817323.25684, -10.38906,  -4.28505,   0.39739
1717728817339.93115, -10.75336,  -4.53381,   0.83494
1717728817356.60522, -11.05340,  -4.58790,   0.00822
1717728817373.27930, -13.02385,  -3.20130,  -2.27253
1717728817389.95337, -12.88339,  -4.21999,  -2.57414
1717728817406.62769, -12.52643,  -4.63322,  -1.41718
1717728817423.30176, -11.96756,  -4.48176,   1.10009
1717728817439.97583, -11.21858,  -5.43675,   4.23016
1717728817456.64990, -12.15669,  -5.35077,   5.33101
1717728817473.32422, -13.15293,  -5.01709,   4.68822
1717728817489.99829, -13.20491,  -4.64135,   3.89954
1717728817506.67236, -12.15895,  -4.70424,   5.24416
1717728817523.34644, -10.52343,  -5.04238,   7.80487
1717728817540.02075,  -5.87367,  -6.24235,  10.22243
1717728817556.69482,  -5.80809,  -5.62075,   8.82097
1717728817573.36890,  -4.60178,  -4.86617,   7.22902
1717728817590.04321,  -2.23327,  -5.16208,   6.29702
1717728817606.71729,  -1.83614,  -5.44098,   4.59322
1717728817623.39136,  -2.98367,  -5.16578,   3.36417
1717728817640.06543,  -3.03737,  -4.82505,   1.31810
1717728817656.73975,  -1.75464,  -4.65368,  -0.70244
1717728817673.41382,  -0.36296,  -4.51327,  -0.83046
1717728817690.08789,   1.55192,  -3.85912,   1.83528
1717728817706.76196,   2.56267,  -2.91862,   3.00891
1717728817723.43628,   5.47485,  -1.91018,   5.86794
1717728817740.11035,   8.89371,  -1.51744,   8.44474
1717728817756.78442,   8.12438,  -1.60861,   7.38072
1717728817773.45874,   4.88077,  -1.56628,   4.57282
1717728817790.13281,   3.00075,  -1.30925,   3.57590
1717728817806.80688,   2.14487,  -1.66533,   4.79903
1717728817823.48096,   5.62254,  -4.41601,  16.87607
1717728817840.15527,   8.39529,  -5.80797,  19.14570
1717728817856.82935,   7.90061,  -5.72573,  12.36518
